Analysis,N,AUC
Exclude LOS<24h,4952,0.7423112336321226
DSI first,5723,0.7692672385742886
DSI max,5723,0.7702299880182674
DSI mean 24h,5723,0.7732307804203942
Surgical,3858,0.7603482878959371
Non-surgical,1865,0.8036432099539504
inflammation,3552,0.7402431217354615
obstruction,1628,0.6848320405392138
perforation,416,0.7264942528735634
ischemia,418,0.6812552401485208
