Threshold,TP,FP,TN,FN,Sensitivity,Specificity,PPV,NPV,Youden
1.0,1104,4322,265,37,0.9675723049956179,0.057771964246784394,0.20346479911537044,0.8774834437086093,0.025344269242402184
1.279,968,3329,1258,173,0.8483786152497809,0.27425332461303686,0.22527344659064463,0.8791055206149546,0.12263193986281773
1.502,760,2105,2482,381,0.6660823838737949,0.5410943972095051,0.26527050610820246,0.8669228082431016,0.20717678108330007
1.762,468,962,3625,673,0.4101665205959685,0.79027686941356,0.32727272727272727,0.8434155421126105,0.2004433900095286
2.0,249,363,4224,892,0.2182296231375986,0.920863309352518,0.4068627450980392,0.8256450351837373,0.13909293249011667
