Variable,Beta,SE,OR,95% CI Lower,95% CI Upper,P-value
Age (per year),0.0217,0.0026,1.022,1.017,1.027,9.82e-17
Gender (male vs female),-0.1324,0.0759,0.876,0.755,1.017,0.081
CCI (per point),0.1248,0.0122,1.133,1.106,1.160,1.74e-24
Lactate (per mmol/L),0.1295,0.0141,1.138,1.107,1.170,4.28e-20
WBC (per 10^9/L),0.0057,0.0031,1.006,1.000,1.012,0.063
SOFA (per point),0.1613,0.0088,1.175,1.155,1.195,9.76e-76
DSI (mean 24h),0.7959,0.0994,2.216,1.824,2.693,1.16e-15
