Model,Brier_score,HL_Chi2,HL_P
Baseline,0.11471903524574512,20.235773749202963,0.009479912126711731
Baseline + DSI,0.11136533405261893,10.439303959483137,0.23553546379368495
Baseline + MSI,0.11148688164989737,15.399389866172024,0.051829262462560144
Baseline + Age-SI,0.11146558503084895,19.90770098931673,0.010690945821320241
Baseline + SI,0.11135642922047859,23.88587508507072,0.0023949557750395645
Full Model,0.11012470450341091,15.409946665495946,0.05164765360147883
