Variable,OR,CI_lower,CI_upper,P
Age,1.010174674348178,1.0061441302000487,1.0142213645788047,6.945678163358919e-07
Male,1.0566219725558865,0.9347516289198103,1.1943814360377751,0.37840114644281797
CCI,1.1507140959035242,1.1290561244043127,1.1727875186095642,1.6027028436446773e-47
DSI (mean 24h),5.337695565087221,4.557853322737255,6.250967709606172,6.150414182489038e-96
