Metric,Log-rank Chi2,P_value
DSI,47.26989372790352,3.045212970675948e-10
MSI,61.660703850701765,2.596811654598241e-13
Age-SI,99.20791542709921,0.0
SI,41.765129599335935,4.500002259710811e-09
