Model,AUC
Baseline (Age+Sex+CCI),0.6479561957546417
Baseline + SI,0.6949879725486034
Baseline + MSI,0.6906256603454625
Baseline + DSI,0.6920689545130325
Baseline + Age-SI,0.6944979045756065
Full Model,0.7092775680484651
